Tick,Evento,ID Repartidor
1,Se asignó el rapartidor,1
2,Se asignó el rapartidor,2
3,Se asignó el rapartidor,3
8,Se asignó el rapartidor,4
10,Se asignó el rapartidor,5
10,Comenzó el envio del pedido,5
11,Se asignó el rapartidor,6
12,Se asignó el rapartidor,7
12,Comenzó el envio del pedido,6
16,Se asignó el rapartidor,8
18,Se asignó el rapartidor,9
19,Finalizó el envío del pedido,6
20,Se asignó el rapartidor,10
21,Finalizó el envío del pedido,5
21,Comenzó el envio del pedido,3
22,Se asignó el rapartidor,11
26,Se asignó el rapartidor,12
26,Comenzó el envio del pedido,12
27,Se asignó el rapartidor,13
27,El repartidor vuelve a estar listo,6
28,Se asignó el rapartidor,14
30,Se asignó el rapartidor,15
30,Comenzó el envio del pedido,8
30,Comenzó el envio del pedido,1
30,Finalizó el envío del pedido,3
32,Se asignó el rapartidor,6
32,El repartidor vuelve a estar listo,5
34,Se asignó el rapartidor,5
34,Comenzó el envio del pedido,11
34,Comenzó el envio del pedido,7
36,Comenzó el envio del pedido,14
38,Comenzó el envio del pedido,13
39,El repartidor vuelve a estar listo,3
39,Finalizó el envío del pedido,8
39,Comenzó el envio del pedido,2
40,Se asignó el rapartidor,3
41,Comenzó el envio del pedido,3
45,Finalizó el envío del pedido,1
46,Finalizó el envío del pedido,12
47,Finalizó el envío del pedido,11
47,Finalizó el envío del pedido,3
49,El repartidor vuelve a estar listo,8
49,Finalizó el envío del pedido,13
49,Finalizó el envío del pedido,14
50,Se asignó el rapartidor,8
50,Comenzó el envio del pedido,4
51,Comenzó el envio del pedido,8
51,Comenzó el envio del pedido,10
52,Finalizó el envío del pedido,7
54,El repartidor vuelve a estar listo,3
54,Finalizó el envío del pedido,4
55,Se asignó el rapartidor,3
56,Comenzó el envio del pedido,3
57,Finalizó el envío del pedido,2
59,El repartidor vuelve a estar listo,4
60,Se asignó el rapartidor,4
60,El repartidor vuelve a estar listo,13
61,Se asignó el rapartidor,13
61,El repartidor vuelve a estar listo,1
61,El repartidor vuelve a estar listo,11
62,Se asignó el rapartidor,11
62,El repartidor vuelve a estar listo,14
63,Se asignó el rapartidor,1
64,Se asignó el rapartidor,14
64,Finalizó el envío del pedido,10
64,Comenzó el envio del pedido,14
66,El repartidor vuelve a estar listo,12
66,Finalizó el envío del pedido,8
67,Se asignó el rapartidor,12
68,Comenzó el envio del pedido,9
69,Finalizó el envío del pedido,3
71,El repartidor vuelve a estar listo,7
72,Se asignó el rapartidor,7
73,Comenzó el envio del pedido,15
75,El repartidor vuelve a estar listo,2
76,Se asignó el rapartidor,2
76,Comenzó el envio del pedido,6
77,Comenzó el envio del pedido,2
77,El repartidor vuelve a estar listo,10
77,Finalizó el envío del pedido,9
77,Comenzó el envio del pedido,12
78,Se asignó el rapartidor,10
82,El repartidor vuelve a estar listo,8
83,Se asignó el rapartidor,8
83,El repartidor vuelve a estar listo,3
84,Comenzó el envio del pedido,8
84,Se asignó el rapartidor,3
84,Finalizó el envío del pedido,14
85,Comenzó el envio del pedido,3
85,Finalizó el envío del pedido,2
85,Comenzó el envio del pedido,4
86,El repartidor vuelve a estar listo,9
87,Se asignó el rapartidor,9
87,Comenzó el envio del pedido,7
88,Finalizó el envío del pedido,8
89,Finalizó el envío del pedido,3
89,Finalizó el envío del pedido,6
89,Finalizó el envío del pedido,15
89,Comenzó el envio del pedido,1
90,Finalizó el envío del pedido,4
90,Comenzó el envio del pedido,11
93,El repartidor vuelve a estar listo,8
