Tick,Evento,Tipo de Comercio,ID Pedido
0,Entró el pedido al sistema,restaurante,0
0,Entró el pedido al sistema,restaurante,1
1,Se empezó a elaborar el pedido,restaurante,0
1,Se empezó a elaborar el pedido,restaurante,1
1,Se asignó el rapartidor,restaurante,0
2,Entró el pedido al sistema,restaurante,2
2,Se asignó el rapartidor,restaurante,1
3,Se empezó a elaborar el pedido,restaurante,2
3,Se asignó el rapartidor,restaurante,2
7,Entró el pedido al sistema,restaurante,3
8,Se empezó a elaborar el pedido,restaurante,3
8,Se asignó el rapartidor,restaurante,3
9,Entró el pedido al sistema,farmacia,4
10,Entró el pedido al sistema,restaurante,5
10,Se asignó el rapartidor,farmacia,4
10,Se empezó a elaborar el pedido,farmacia,4
10,Entró el pedido al sistema,farmacia,6
10,Se Termino de elaborar el pedido,farmacia,4
10,Comenzó el envio del pedido,farmacia,4
11,Se empezó a elaborar el pedido,restaurante,5
11,Se empezó a elaborar el pedido,farmacia,6
11,Se asignó el rapartidor,farmacia,6
11,Se Termino de elaborar el pedido,farmacia,6
12,Se asignó el rapartidor,restaurante,5
12,Comenzó el envio del pedido,farmacia,6
15,Entró el pedido al sistema,restaurante,7
16,Se empezó a elaborar el pedido,restaurante,7
16,Se asignó el rapartidor,restaurante,7
17,Entró el pedido al sistema,restaurante,8
18,Se asignó el rapartidor,restaurante,8
19,Entró el pedido al sistema,restaurante,9
19,Finalizó el envío del pedido,farmacia,6
20,Se empezó a elaborar el pedido,restaurante,9
20,Se asignó el rapartidor,restaurante,9
21,Entró el pedido al sistema,restaurante,10
21,Se Termino de elaborar el pedido,restaurante,2
21,Finalizó el envío del pedido,farmacia,4
21,Comenzó el envio del pedido,restaurante,2
22,Se empezó a elaborar el pedido,restaurante,10
22,Se asignó el rapartidor,restaurante,10
25,Entró el pedido al sistema,restaurante,11
25,Entró el pedido al sistema,farmacia,12
25,Entró el pedido al sistema,restaurante,13
26,Se empezó a elaborar el pedido,restaurante,11
26,Se empezó a elaborar el pedido,farmacia,12
26,Se empezó a elaborar el pedido,restaurante,13
26,Se asignó el rapartidor,farmacia,12
26,Se Termino de elaborar el pedido,farmacia,12
26,Comenzó el envio del pedido,farmacia,12
27,Se asignó el rapartidor,restaurante,11
28,Se asignó el rapartidor,restaurante,13
29,Entró el pedido al sistema,restaurante,14
30,Se Termino de elaborar el pedido,restaurante,7
30,Se Termino de elaborar el pedido,restaurante,0
30,Se asignó el rapartidor,restaurante,14
30,Comenzó el envio del pedido,restaurante,7
30,Comenzó el envio del pedido,restaurante,0
30,Finalizó el envío del pedido,restaurante,2
31,Entró el pedido al sistema,restaurante,15
32,Se empezó a elaborar el pedido,restaurante,15
32,Se asignó el rapartidor,restaurante,15
33,Entró el pedido al sistema,restaurante,16
34,Se Termino de elaborar el pedido,restaurante,5
34,Se Termino de elaborar el pedido,restaurante,10
34,Se empezó a elaborar el pedido,restaurante,8
34,Comenzó el envio del pedido,restaurante,10
34,Se asignó el rapartidor,restaurante,16
34,Comenzó el envio del pedido,restaurante,5
36,Entró el pedido al sistema,almacen,17
36,Se Termino de elaborar el pedido,restaurante,13
36,Comenzó el envio del pedido,restaurante,13
37,Se empezó a elaborar el pedido,almacen,17
37,Se Termino de elaborar el pedido,almacen,17
38,Se Termino de elaborar el pedido,restaurante,11
38,Se empezó a elaborar el pedido,restaurante,14
38,Comenzó el envio del pedido,restaurante,11
39,Se Termino de elaborar el pedido,restaurante,1
39,Finalizó el envío del pedido,restaurante,7
39,Comenzó el envio del pedido,restaurante,1
40,Se asignó el rapartidor,almacen,17
41,Entró el pedido al sistema,almacen,18
41,Comenzó el envio del pedido,almacen,17
42,Se empezó a elaborar el pedido,almacen,18
42,Se Termino de elaborar el pedido,almacen,18
43,Entró el pedido al sistema,farmacia,19
43,Entró el pedido al sistema,restaurante,20
44,Se empezó a elaborar el pedido,restaurante,20
44,Se empezó a elaborar el pedido,farmacia,19
44,Se Termino de elaborar el pedido,farmacia,19
45,Finalizó el envío del pedido,restaurante,0
46,Finalizó el envío del pedido,farmacia,12
47,Finalizó el envío del pedido,restaurante,10
47,Finalizó el envío del pedido,almacen,17
48,Entró el pedido al sistema,restaurante,21
48,Entró el pedido al sistema,restaurante,22
49,Se empezó a elaborar el pedido,restaurante,21
49,Finalizó el envío del pedido,restaurante,13
49,Finalizó el envío del pedido,restaurante,11
50,Entró el pedido al sistema,restaurante,23
50,Se Termino de elaborar el pedido,restaurante,3
50,Se asignó el rapartidor,almacen,18
50,Comenzó el envio del pedido,restaurante,3
51,Se Termino de elaborar el pedido,restaurante,9
51,Se empezó a elaborar el pedido,restaurante,23
51,Comenzó el envio del pedido,almacen,18
51,Se empezó a elaborar el pedido,restaurante,22
51,Comenzó el envio del pedido,restaurante,9
52,Finalizó el envío del pedido,restaurante,5
53,Entró el pedido al sistema,restaurante,24
54,Se empezó a elaborar el pedido,restaurante,24
54,Finalizó el envío del pedido,restaurante,3
55,Se asignó el rapartidor,farmacia,19
56,Comenzó el envio del pedido,farmacia,19
57,Entró el pedido al sistema,restaurante,25
57,Finalizó el envío del pedido,restaurante,1
58,Entró el pedido al sistema,restaurante,26
58,Se empezó a elaborar el pedido,restaurante,25
60,Se asignó el rapartidor,restaurante,20
61,Se asignó el rapartidor,restaurante,23
62,Se asignó el rapartidor,restaurante,25
63,Entró el pedido al sistema,farmacia,27
63,Se asignó el rapartidor,restaurante,26
64,Se empezó a elaborar el pedido,farmacia,27
64,Se asignó el rapartidor,farmacia,27
64,Se Termino de elaborar el pedido,farmacia,27
64,Finalizó el envío del pedido,restaurante,9
64,Comenzó el envio del pedido,farmacia,27
66,Finalizó el envío del pedido,almacen,18
67,Se asignó el rapartidor,restaurante,22
68,Entró el pedido al sistema,farmacia,28
68,Se Termino de elaborar el pedido,restaurante,8
68,Comenzó el envio del pedido,restaurante,8
69,Entró el pedido al sistema,restaurante,29
